date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:25	51/51	---M--	200	added ('OK')	text/plain	etag:%225a20467-33-57d5cb16308ab%22	https://hoatuoiciti.com/robots.txt		(from )
19:00:25	157967/157967	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2011:29:07%20GMT	https://hoatuoiciti.com/	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/index.html	(from )
19:00:27	157967/157967	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2011:29:08%20GMT	https://hoatuoiciti.com/upload/hinhanh/	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/upload/hinhanh/index.html	(from https://hoatuoiciti.com/)
19:00:27	394/394	---M--	200	added ('OK')	application/javascript	etag:%225a80f73-18a-57d5cb185e673%22	http://hoatuoiciti.com/js/my_script.js	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/js/my_script.js	(from https://hoatuoiciti.com/)
19:00:27	21036/21036	---M--	200	added ('OK')	image/png	etag:%225a810a9-522c-57d5cb1e06e3b%22	http://hoatuoiciti.com/upload/company/favicon.png	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/upload/company/favicon.png	(from https://hoatuoiciti.com/)
19:00:28	76386/76386	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Jul%202022%2011:29:10%20GMT	https://hoatuoiciti.com/basket.html	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/basket.html	(from https://hoatuoiciti.com/)
19:00:28	1476/1476	---M--	200	added ('OK')	text/css	etag:%225a81061-5c4-57d5cb1c61423%22	http://hoatuoiciti.com/css/owl/owl.carousel.css	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/css/owl/owl.carousel.css	(from https://hoatuoiciti.com/)
19:00:28	4476/4476	---M--	200	added ('OK')	text/css	etag:%225a81062-117c-57d5cb1c6a893%22	http://hoatuoiciti.com/css/owl/owl.transitions.css	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/css/owl/owl.transitions.css	(from https://hoatuoiciti.com/)
19:00:29	1665/1665	---M--	200	added ('OK')	text/css	etag:%225a81060-681-57d5cb1c652a3%22	http://hoatuoiciti.com/css/owl/owl.theme.css	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/css/owl/owl.theme.css	(from https://hoatuoiciti.com/)
19:00:29	3647/3647	---M--	200	added ('OK')	text/css	etag:%225a80f2e-e3f-57d5cb16dca93%22	http://hoatuoiciti.com/css/jquery.bxslider.css	C:/My%20Web%20Sites/hoa/hoatuoiciti.com/css/jquery.bxslider.css	(from https://hoatuoiciti.com/)
